year,export_column,source_column,original_arrow_type,label,value_labels_json,missing_codes_json,source_files_json
2000,CC01Q04,CC01Q04,int64,Difficult - CC1/4,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q05,CC01Q05,int64,Much as possible - CC1/5,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q06,CC01Q06,int64,Job- CC1/6,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q07,CC01Q07,int64,Work as hard - CC1/7,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q08,CC01Q08,int64,Most Complex - CC1/8,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q09,CC01Q09,int64,Relate New - CC1/9,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q10,CC01Q10,int64,Recite - CC1/10,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q11,CC01Q11,int64,Bad Grades - CC1/11,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q12,CC01Q12,int64,Keep Working - CC1/12,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
2000,CC01Q13,CC01Q13,int64,Force myself - CC1/13,"{""1"": ""Never"", ""2"": ""Some"", ""3"": ""Often"", ""4"": ""Always""}","[""8"", ""9"", ""7""]","[""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_read_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_reading.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_math_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_mathematics.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/intstud_scie_v3.txt"", ""data/Global/pisa/historical_raw/2000/student_questionnaire/PISA2000_SPSS_student_science.txt""]"
