year,column,observed,total,percent
2015,PAREDINT,6632,6736,98.46
2018,PAREDINT,34925,35943,97.17
2022,PAREDINT,29394,30800,95.44
2025,PAREDINT,27813,29966,92.82
2000,HISEI,5923,6214,95.32
2003,HISEI,10378,10791,96.17
2006,HISEI,19084,19604,97.35
2009,HISEI,24843,25887,95.97
2012,HISEI,24906,25313,98.39
2015,HISEI,6320,6736,93.82
2018,HISEI,34246,35943,95.28
2022,HISEI,27908,30800,90.61
2025,HISEI,26900,29966,89.77
2000,HOMEPOS,0,6214,0.0
2003,HOMEPOS,10772,10791,99.82
2006,HOMEPOS,19542,19604,99.68
2009,HOMEPOS,25724,25887,99.37
2012,HOMEPOS,25104,25313,99.17
2015,HOMEPOS,6567,6736,97.49
2018,HOMEPOS,35474,35943,98.7
2022,HOMEPOS,29857,30800,96.94
2025,HOMEPOS,28996,29966,96.76
2000,FAMSUP,0,6214,0.0
2003,FAMSUP,0,10791,0.0
2006,FAMSUP,0,19604,0.0
2009,FAMSUP,0,25887,0.0
2012,FAMSUP,0,25313,0.0
2015,FAMSUP,0,6736,0.0
2018,FAMSUP,0,35943,0.0
2022,FAMSUP,26796,30800,87.0
2025,FAMSUP,26556,29966,88.62
2000,BELONG,6121,6214,98.5
2003,BELONG,10737,10791,99.5
2006,BELONG,0,19604,0.0
2009,BELONG,0,25887,0.0
2012,BELONG,16538,25313,65.33
2015,BELONG,6542,6736,97.12
2018,BELONG,33014,35943,91.85
2022,BELONG,29547,30800,95.93
2025,BELONG,28571,29966,95.34
2000,BULLIED,0,6214,0.0
2003,BULLIED,0,10791,0.0
2006,BULLIED,0,19604,0.0
2009,BULLIED,0,25887,0.0
2012,BULLIED,0,25313,0.0
2015,BULLIED,0,6736,0.0
2018,BULLIED,0,35943,0.0
2022,BULLIED,29587,30800,96.06
2025,BULLIED,28565,29966,95.32
2000,ST016Q01NA,0,6214,0.0
2003,ST016Q01NA,0,10791,0.0
2006,ST016Q01NA,0,19604,0.0
2009,ST016Q01NA,0,25887,0.0
2012,ST016Q01NA,0,25313,0.0
2015,ST016Q01NA,0,6736,0.0
2018,ST016Q01NA,0,35943,0.0
2022,ST016Q01NA,29588,30800,96.06
2025,ST016Q01NA,26115,29966,87.15
2000,W_FSTUWT,6214,6214,100.0
2003,W_FSTUWT,10791,10791,100.0
2006,W_FSTUWT,19604,19604,100.0
2009,W_FSTUWT,25887,25887,100.0
2012,W_FSTUWT,25313,25313,100.0
2015,W_FSTUWT,6736,6736,100.0
2018,W_FSTUWT,35943,35943,100.0
2022,W_FSTUWT,30800,30800,100.0
2025,W_FSTUWT,29966,29966,100.0
2000,recursos_hogar,0,6214,0.0
2003,recursos_hogar,0,10791,0.0
2006,recursos_hogar,0,19604,0.0
2009,recursos_hogar,0,25887,0.0
2012,recursos_hogar,0,25313,0.0
2015,recursos_hogar,0,6736,0.0
2018,recursos_hogar,0,35943,0.0
2022,recursos_hogar,30800,30800,100.0
2025,recursos_hogar,29966,29966,100.0
2000,posesiones_hogar,0,6214,0.0
2003,posesiones_hogar,0,10791,0.0
2006,posesiones_hogar,0,19604,0.0
2009,posesiones_hogar,0,25887,0.0
2012,posesiones_hogar,0,25313,0.0
2015,posesiones_hogar,0,6736,0.0
2018,posesiones_hogar,0,35943,0.0
2022,posesiones_hogar,30800,30800,100.0
2025,posesiones_hogar,29966,29966,100.0
2000,apoyo_familiar,0,6214,0.0
2003,apoyo_familiar,0,10791,0.0
2006,apoyo_familiar,0,19604,0.0
2009,apoyo_familiar,0,25887,0.0
2012,apoyo_familiar,0,25313,0.0
2015,apoyo_familiar,0,6736,0.0
2018,apoyo_familiar,0,35943,0.0
2022,apoyo_familiar,30800,30800,100.0
2025,apoyo_familiar,29966,29966,100.0
2000,ST438Q01DA,0,6214,0.0
2003,ST438Q01DA,0,10791,0.0
2006,ST438Q01DA,0,19604,0.0
2009,ST438Q01DA,0,25887,0.0
2012,ST438Q01DA,0,25313,0.0
2015,ST438Q01DA,0,6736,0.0
2018,ST438Q01DA,0,35943,0.0
2022,ST438Q01DA,0,30800,0.0
2025,ST438Q01DA,26780,29966,89.37
2000,ST438Q02DA,0,6214,0.0
2003,ST438Q02DA,0,10791,0.0
2006,ST438Q02DA,0,19604,0.0
2009,ST438Q02DA,0,25887,0.0
2012,ST438Q02DA,0,25313,0.0
2015,ST438Q02DA,0,6736,0.0
2018,ST438Q02DA,0,35943,0.0
2022,ST438Q02DA,0,30800,0.0
2025,ST438Q02DA,26664,29966,88.98
2000,ST438Q03DA,0,6214,0.0
2003,ST438Q03DA,0,10791,0.0
2006,ST438Q03DA,0,19604,0.0
2009,ST438Q03DA,0,25887,0.0
2012,ST438Q03DA,0,25313,0.0
2015,ST438Q03DA,0,6736,0.0
2018,ST438Q03DA,0,35943,0.0
2022,ST438Q03DA,0,30800,0.0
2025,ST438Q03DA,26490,29966,88.4
2000,ST438Q04DA,0,6214,0.0
2003,ST438Q04DA,0,10791,0.0
2006,ST438Q04DA,0,19604,0.0
2009,ST438Q04DA,0,25887,0.0
2012,ST438Q04DA,0,25313,0.0
2015,ST438Q04DA,0,6736,0.0
2018,ST438Q04DA,0,35943,0.0
2022,ST438Q04DA,0,30800,0.0
2025,ST438Q04DA,26605,29966,88.78
2000,IC170Q10DA,0,6214,0.0
2003,IC170Q10DA,0,10791,0.0
2006,IC170Q10DA,0,19604,0.0
2009,IC170Q10DA,0,25887,0.0
2012,IC170Q10DA,0,25313,0.0
2015,IC170Q10DA,0,6736,0.0
2018,IC170Q10DA,0,35943,0.0
2022,IC170Q10DA,0,30800,0.0
2025,IC170Q10DA,23696,29966,79.08
2000,IC171Q10DA,0,6214,0.0
2003,IC171Q10DA,0,10791,0.0
2006,IC171Q10DA,0,19604,0.0
2009,IC171Q10DA,0,25887,0.0
2012,IC171Q10DA,0,25313,0.0
2015,IC171Q10DA,0,6736,0.0
2018,IC171Q10DA,0,35943,0.0
2022,IC171Q10DA,0,30800,0.0
2025,IC171Q10DA,23053,29966,76.93
2000,ST436Q16DA,0,6214,0.0
2003,ST436Q16DA,0,10791,0.0
2006,ST436Q16DA,0,19604,0.0
2009,ST436Q16DA,0,25887,0.0
2012,ST436Q16DA,0,25313,0.0
2015,ST436Q16DA,0,6736,0.0
2018,ST436Q16DA,0,35943,0.0
2022,ST436Q16DA,0,30800,0.0
2025,ST436Q16DA,25139,29966,83.89
2000,IC182Q05DA,0,6214,0.0
2003,IC182Q05DA,0,10791,0.0
2006,IC182Q05DA,0,19604,0.0
2009,IC182Q05DA,0,25887,0.0
2012,IC182Q05DA,0,25313,0.0
2015,IC182Q05DA,0,6736,0.0
2018,IC182Q05DA,0,35943,0.0
2022,IC182Q05DA,0,30800,0.0
2025,IC182Q05DA,22352,29966,74.59
2000,AIUSESCH,0,6214,0.0
2003,AIUSESCH,0,10791,0.0
2006,AIUSESCH,0,19604,0.0
2009,AIUSESCH,0,25887,0.0
2012,AIUSESCH,0,25313,0.0
2015,AIUSESCH,0,6736,0.0
2018,AIUSESCH,0,35943,0.0
2022,AIUSESCH,0,30800,0.0
2025,AIUSESCH,26699,29966,89.1
2000,ICTSCH,0,6214,0.0
2003,ICTSCH,0,10791,0.0
2006,ICTSCH,0,19604,0.0
2009,ICTSCH,0,25887,0.0
2012,ICTSCH,0,25313,0.0
2015,ICTSCH,0,6736,0.0
2018,ICTSCH,0,35943,0.0
2022,ICTSCH,28663,30800,93.06
2025,ICTSCH,25615,29966,85.48
2000,ICTHOME,0,6214,0.0
2003,ICTHOME,0,10791,0.0
2006,ICTHOME,0,19604,0.0
2009,ICTHOME,0,25887,0.0
2012,ICTHOME,0,25313,0.0
2015,ICTHOME,0,6736,0.0
2018,ICTHOME,0,35943,0.0
2022,ICTHOME,27839,30800,90.39
2025,ICTHOME,24457,29966,81.62
2000,ICTQUAL,0,6214,0.0
2003,ICTQUAL,0,10791,0.0
2006,ICTQUAL,0,19604,0.0
2009,ICTQUAL,0,25887,0.0
2012,ICTQUAL,0,25313,0.0
2015,ICTQUAL,0,6736,0.0
2018,ICTQUAL,0,35943,0.0
2022,ICTQUAL,28100,30800,91.23
2025,ICTQUAL,24453,29966,81.6
2000,ICTFEED,0,6214,0.0
2003,ICTFEED,0,10791,0.0
2006,ICTFEED,0,19604,0.0
2009,ICTFEED,0,25887,0.0
2012,ICTFEED,0,25313,0.0
2015,ICTFEED,0,6736,0.0
2018,ICTFEED,0,35943,0.0
2022,ICTFEED,27654,30800,89.79
2025,ICTFEED,23946,29966,79.91
2000,ICTOUT,0,6214,0.0
2003,ICTOUT,0,10791,0.0
2006,ICTOUT,0,19604,0.0
2009,ICTOUT,0,25887,0.0
2012,ICTOUT,0,25313,0.0
2015,ICTOUT,0,6736,0.0
2018,ICTOUT,0,35943,0.0
2022,ICTOUT,27550,30800,89.45
2025,ICTOUT,23829,29966,79.52
2000,ICTWKDY,0,6214,0.0
2003,ICTWKDY,0,10791,0.0
2006,ICTWKDY,0,19604,0.0
2009,ICTWKDY,0,25887,0.0
2012,ICTWKDY,0,25313,0.0
2015,ICTWKDY,0,6736,0.0
2018,ICTWKDY,0,35943,0.0
2022,ICTWKDY,27566,30800,89.5
2025,ICTWKDY,23748,29966,79.25
2000,ICTWKEND,0,6214,0.0
2003,ICTWKEND,0,10791,0.0
2006,ICTWKEND,0,19604,0.0
2009,ICTWKEND,0,25887,0.0
2012,ICTWKEND,0,25313,0.0
2015,ICTWKEND,0,6736,0.0
2018,ICTWKEND,0,35943,0.0
2022,ICTWKEND,26485,30800,85.99
2025,ICTWKEND,22901,29966,76.42
2000,ICTREG,0,6214,0.0
2003,ICTREG,0,10791,0.0
2006,ICTREG,0,19604,0.0
2009,ICTREG,0,25887,0.0
2012,ICTREG,0,25313,0.0
2015,ICTREG,0,6736,0.0
2018,ICTREG,0,35943,0.0
2022,ICTREG,27468,30800,89.18
2025,ICTREG,23223,29966,77.5
2000,ICTINFO,0,6214,0.0
2003,ICTINFO,0,10791,0.0
2006,ICTINFO,0,19604,0.0
2009,ICTINFO,0,25887,0.0
2012,ICTINFO,0,25313,0.0
2015,ICTINFO,0,6736,0.0
2018,ICTINFO,0,35943,0.0
2022,ICTINFO,26923,30800,87.41
2025,ICTINFO,22485,29966,75.04
2000,ICTDISTR,0,6214,0.0
2003,ICTDISTR,0,10791,0.0
2006,ICTDISTR,0,19604,0.0
2009,ICTDISTR,0,25887,0.0
2012,ICTDISTR,0,25313,0.0
2015,ICTDISTR,0,6736,0.0
2018,ICTDISTR,0,35943,0.0
2022,ICTDISTR,24329,30800,78.99
2025,ICTDISTR,19231,29966,64.18
2000,ICTRES,0,6214,0.0
2003,ICTRES,0,10791,0.0
2006,ICTRES,0,19604,0.0
2009,ICTRES,25715,25887,99.34
2012,ICTRES,0,25313,0.0
2015,ICTRES,6565,6736,97.46
2018,ICTRES,35442,35943,98.61
2022,ICTRES,0,30800,0.0
2025,ICTRES,28987,29966,96.73
2000,ICTAVSCH,0,6214,0.0
2003,ICTAVSCH,0,10791,0.0
2006,ICTAVSCH,0,19604,0.0
2009,ICTAVSCH,0,25887,0.0
2012,ICTAVSCH,0,25313,0.0
2015,ICTAVSCH,0,6736,0.0
2018,ICTAVSCH,0,35943,0.0
2022,ICTAVSCH,28983,30800,94.1
2025,ICTAVSCH,25847,29966,86.25
2000,ST255Q01JA,0,6214,0.0
2003,ST255Q01JA,0,10791,0.0
2006,ST255Q01JA,0,19604,0.0
2009,ST255Q01JA,0,25887,0.0
2012,ST255Q01JA,0,25313,0.0
2015,ST255Q01JA,0,6736,0.0
2018,ST255Q01JA,0,35943,0.0
2022,ST255Q01JA,29793,30800,96.73
2025,ST255Q01JA,28827,29966,96.2
2000,ST296Q04JA,0,6214,0.0
2003,ST296Q04JA,0,10791,0.0
2006,ST296Q04JA,0,19604,0.0
2009,ST296Q04JA,0,25887,0.0
2012,ST296Q04JA,0,25313,0.0
2015,ST296Q04JA,0,6736,0.0
2018,ST296Q04JA,0,35943,0.0
2022,ST296Q04JA,28775,30800,93.43
2025,ST296Q04JA,25696,29966,85.75
2000,ST322Q02JA,0,6214,0.0
2003,ST322Q02JA,0,10791,0.0
2006,ST322Q02JA,0,19604,0.0
2009,ST322Q02JA,0,25887,0.0
2012,ST322Q02JA,0,25313,0.0
2015,ST322Q02JA,0,6736,0.0
2018,ST322Q02JA,0,35943,0.0
2022,ST322Q02JA,24511,30800,79.58
2025,ST322Q02JA,26411,29966,88.14
2000,SKIPPING,0,6214,0.0
2003,SKIPPING,0,10791,0.0
2006,SKIPPING,0,19604,0.0
2009,SKIPPING,0,25887,0.0
2012,SKIPPING,0,25313,0.0
2015,SKIPPING,0,6736,0.0
2018,SKIPPING,0,35943,0.0
2022,SKIPPING,29573,30800,96.02
2025,SKIPPING,28626,29966,95.53
2000,TARDYSD,0,6214,0.0
2003,TARDYSD,0,10791,0.0
2006,TARDYSD,0,19604,0.0
2009,TARDYSD,0,25887,0.0
2012,TARDYSD,0,25313,0.0
2015,TARDYSD,0,6736,0.0
2018,TARDYSD,0,35943,0.0
2022,TARDYSD,29374,30800,95.37
2025,TARDYSD,28282,29966,94.38
2000,EXERPRAC,0,6214,0.0
2003,EXERPRAC,0,10791,0.0
2006,EXERPRAC,0,19604,0.0
2009,EXERPRAC,0,25887,0.0
2012,EXERPRAC,0,25313,0.0
2015,EXERPRAC,0,6736,0.0
2018,EXERPRAC,0,35943,0.0
2022,EXERPRAC,29674,30800,96.34
2025,EXERPRAC,28026,29966,93.53
2000,BSMJ,0,6214,0.0
2003,BSMJ,0,10791,0.0
2006,BSMJ,14447,19604,73.69
2009,BSMJ,0,25887,0.0
2012,BSMJ,0,25313,0.0
2015,BSMJ,5996,6736,89.01
2018,BSMJ,29115,35943,81.0
2022,BSMJ,20913,30800,67.9
2025,BSMJ,21759,29966,72.61
2000,SISCO,0,6214,0.0
2003,SISCO,0,10791,0.0
2006,SISCO,0,19604,0.0
2009,SISCO,0,25887,0.0
2012,SISCO,0,25313,0.0
2015,SISCO,0,6736,0.0
2018,SISCO,0,35943,0.0
2022,SISCO,24970,30800,81.07
2025,SISCO,25185,29966,84.05
2000,PERSEV,0,6214,0.0
2003,PERSEV,0,10791,0.0
2006,PERSEV,0,19604,0.0
2009,PERSEV,0,25887,0.0
2012,PERSEV,0,25313,0.0
2015,PERSEV,0,6736,0.0
2018,PERSEV,0,35943,0.0
2022,PERSEV,0,30800,0.0
2025,PERSEV,25357,29966,84.62
2000,CURIO,0,6214,0.0
2003,CURIO,0,10791,0.0
2006,CURIO,0,19604,0.0
2009,CURIO,0,25887,0.0
