columna,2000,2003,2006,2012,2015,2018,2022,2025
W_FSTR24,si,si,si,si,,,,
W_FSTR25,si,si,si,si,,,,
W_FSTR26,si,si,si,si,,,,
W_FSTR27,si,si,si,si,,,,
W_FSTR28,si,si,si,si,,,,
W_FSTR29,si,si,si,si,,,,
W_FSTR3,si,si,si,si,,,,
W_FSTR30,si,si,si,si,,,,
W_FSTR31,si,si,si,si,,,,
W_FSTR32,si,si,si,si,,,,
W_FSTR33,si,si,si,si,,,,
W_FSTR34,si,si,si,si,,,,
W_FSTR35,si,si,si,si,,,,
W_FSTR36,si,si,si,si,,,,
W_FSTR37,si,si,si,si,,,,
W_FSTR38,si,si,si,si,,,,
W_FSTR39,si,si,si,si,,,,
W_FSTR4,si,si,si,si,,,,
W_FSTR40,si,si,si,si,,,,
W_FSTR41,si,si,si,si,,,,
W_FSTR42,si,si,si,si,,,,
W_FSTR43,si,si,si,si,,,,
W_FSTR44,si,si,si,si,,,,
W_FSTR45,si,si,si,si,,,,
W_FSTR46,si,si,si,si,,,,
W_FSTR47,si,si,si,si,,,,
W_FSTR48,si,si,si,si,,,,
W_FSTR49,si,si,si,si,,,,
W_FSTR5,si,si,si,si,,,,
W_FSTR50,si,si,si,si,,,,
W_FSTR51,si,si,si,si,,,,
W_FSTR52,si,si,si,si,,,,
W_FSTR53,si,si,si,si,,,,
W_FSTR54,si,si,si,si,,,,
W_FSTR55,si,si,si,si,,,,
W_FSTR56,si,si,si,si,,,,
W_FSTR57,si,si,si,si,,,,
W_FSTR58,si,si,si,si,,,,
W_FSTR59,si,si,si,si,,,,
W_FSTR6,si,si,si,si,,,,
W_FSTR60,si,si,si,si,,,,
W_FSTR61,si,si,si,si,,,,
W_FSTR62,si,si,si,si,,,,
W_FSTR63,si,si,si,si,,,,
W_FSTR64,si,si,si,si,,,,
W_FSTR65,si,si,si,si,,,,
W_FSTR66,si,si,si,si,,,,
W_FSTR67,si,si,si,si,,,,
W_FSTR68,si,si,si,si,,,,
W_FSTR69,si,si,si,si,,,,
W_FSTR7,si,si,si,si,,,,
W_FSTR70,si,si,si,si,,,,
W_FSTR71,si,si,si,si,,,,
W_FSTR72,si,si,si,si,,,,
W_FSTR73,si,si,si,si,,,,
W_FSTR74,si,si,si,si,,,,
W_FSTR75,si,si,si,si,,,,
W_FSTR76,si,si,si,si,,,,
W_FSTR77,si,si,si,si,,,,
W_FSTR78,si,si,si,si,,,,
W_FSTR79,si,si,si,si,,,,
W_FSTR8,si,si,si,si,,,,
W_FSTR80,si,si,si,si,,,,
W_FSTR9,si,si,si,si,,,,
W_FSTURWT1,,,,,si,si,si,si
W_FSTURWT10,,,,,si,si,si,si
W_FSTURWT11,,,,,si,si,si,si
W_FSTURWT12,,,,,si,si,si,si
W_FSTURWT13,,,,,si,si,si,si
W_FSTURWT14,,,,,si,si,si,si
W_FSTURWT15,,,,,si,si,si,si
W_FSTURWT16,,,,,si,si,si,si
W_FSTURWT17,,,,,si,si,si,si
W_FSTURWT18,,,,,si,si,si,si
W_FSTURWT19,,,,,si,si,si,si
W_FSTURWT2,,,,,si,si,si,si
W_FSTURWT20,,,,,si,si,si,si
W_FSTURWT21,,,,,si,si,si,si
W_FSTURWT22,,,,,si,si,si,si
W_FSTURWT23,,,,,si,si,si,si
W_FSTURWT24,,,,,si,si,si,si
W_FSTURWT25,,,,,si,si,si,si
W_FSTURWT26,,,,,si,si,si,si
W_FSTURWT27,,,,,si,si,si,si
W_FSTURWT28,,,,,si,si,si,si
W_FSTURWT29,,,,,si,si,si,si
W_FSTURWT3,,,,,si,si,si,si
W_FSTURWT30,,,,,si,si,si,si
W_FSTURWT31,,,,,si,si,si,si
W_FSTURWT32,,,,,si,si,si,si
W_FSTURWT33,,,,,si,si,si,si
W_FSTURWT34,,,,,si,si,si,si
W_FSTURWT35,,,,,si,si,si,si
W_FSTURWT36,,,,,si,si,si,si
W_FSTURWT37,,,,,si,si,si,si
W_FSTURWT38,,,,,si,si,si,si
W_FSTURWT39,,,,,si,si,si,si
W_FSTURWT4,,,,,si,si,si,si
W_FSTURWT40,,,,,si,si,si,si
W_FSTURWT41,,,,,si,si,si,si
W_FSTURWT42,,,,,si,si,si,si
W_FSTURWT43,,,,,si,si,si,si
W_FSTURWT44,,,,,si,si,si,si
W_FSTURWT45,,,,,si,si,si,si
W_FSTURWT46,,,,,si,si,si,si
W_FSTURWT47,,,,,si,si,si,si
W_FSTURWT48,,,,,si,si,si,si
W_FSTURWT49,,,,,si,si,si,si
W_FSTURWT5,,,,,si,si,si,si
W_FSTURWT50,,,,,si,si,si,si
W_FSTURWT51,,,,,si,si,si,si
W_FSTURWT52,,,,,si,si,si,si
W_FSTURWT53,,,,,si,si,si,si
W_FSTURWT54,,,,,si,si,si,si
W_FSTURWT55,,,,,si,si,si,si
W_FSTURWT56,,,,,si,si,si,si
W_FSTURWT57,,,,,si,si,si,si
W_FSTURWT58,,,,,si,si,si,si
W_FSTURWT59,,,,,si,si,si,si
W_FSTURWT6,,,,,si,si,si,si
W_FSTURWT60,,,,,si,si,si,si
W_FSTURWT61,,,,,si,si,si,si
W_FSTURWT62,,,,,si,si,si,si
