year,column,observed,total,percent
2018,GCSELFEFF,32221,35943,89.6
2022,GCSELFEFF,0,30800,0.0
2025,GCSELFEFF,0,29966,0.0
2000,GFOFAIL,0,6214,0.0
2003,GFOFAIL,0,10791,0.0
2006,GFOFAIL,0,19604,0.0
2009,GFOFAIL,0,25887,0.0
2012,GFOFAIL,0,25313,0.0
2015,GFOFAIL,0,6736,0.0
2018,GFOFAIL,33517,35943,93.3
2022,GFOFAIL,0,30800,0.0
2025,GFOFAIL,0,29966,0.0
2000,GLOBMIND,0,6214,0.0
2003,GLOBMIND,0,10791,0.0
2006,GLOBMIND,0,19604,0.0
2009,GLOBMIND,0,25887,0.0
2012,GLOBMIND,0,25313,0.0
2015,GLOBMIND,0,6736,0.0
2018,GLOBMIND,29714,35943,82.7
2022,GLOBMIND,0,30800,0.0
2025,GLOBMIND,0,29966,0.0
2000,GOALSET,0,6214,0.0
2003,GOALSET,0,10791,0.0
2006,GOALSET,0,19604,0.0
2009,GOALSET,0,25887,0.0
2012,GOALSET,0,25313,0.0
2015,GOALSET,0,6736,0.0
2018,GOALSET,0,35943,0.0
2022,GOALSET,0,30800,0.0
2025,GOALSET,24481,29966,81.7
2000,GRADE,0,6214,0.0
2003,GRADE,10791,10791,100.0
2006,GRADE,0,19604,0.0
2009,GRADE,25887,25887,100.0
2012,GRADE,25313,25313,100.0
2015,GRADE,6736,6736,100.0
2018,GRADE,35943,35943,100.0
2022,GRADE,30800,30800,100.0
2025,GRADE,29966,29966,100.0
2000,GROSAGR,0,6214,0.0
2003,GROSAGR,0,10791,0.0
2006,GROSAGR,0,19604,0.0
2009,GROSAGR,0,25887,0.0
2012,GROSAGR,0,25313,0.0
2015,GROSAGR,0,6736,0.0
2018,GROSAGR,0,35943,0.0
2022,GROSAGR,28782,30800,93.4
2025,GROSAGR,0,29966,0.0
2000,HADDINST,0,6214,0.0
2003,HADDINST,0,10791,0.0
2006,HADDINST,0,19604,0.0
2009,HADDINST,0,25887,0.0
2012,HADDINST,0,25313,0.0
2015,HADDINST,5696,6736,84.6
2018,HADDINST,0,35943,0.0
2022,HADDINST,0,30800,0.0
2025,HADDINST,0,29966,0.0
2000,HEDRES,6147,6214,98.9
2003,HEDRES,10776,10791,99.9
2006,HEDRES,19533,19604,99.6
2009,HEDRES,25679,25887,99.2
2012,HEDRES,25068,25313,99.0
2015,HEDRES,6562,6736,97.4
2018,HEDRES,35454,35943,98.6
2022,HEDRES,0,30800,0.0
2025,HEDRES,0,29966,0.0
2000,HISEI,5923,6214,95.3
2003,HISEI,10378,10791,96.2
2006,HISEI,19084,19604,97.3
2009,HISEI,24843,25887,96.0
2012,HISEI,24906,25313,98.4
2015,HISEI,6320,6736,93.8
2018,HISEI,34246,35943,95.3
2022,HISEI,27908,30800,90.6
2025,HISEI,26900,29966,89.8
2000,HOMEPOS,0,6214,0.0
2003,HOMEPOS,10772,10791,99.8
2006,HOMEPOS,19542,19604,99.7
2009,HOMEPOS,25724,25887,99.4
2012,HOMEPOS,25104,25313,99.2
2015,HOMEPOS,6567,6736,97.5
2018,HOMEPOS,35474,35943,98.7
2022,HOMEPOS,29857,30800,96.9
2025,HOMEPOS,28996,29966,96.8
2000,HOMESCH,0,6214,0.0
2003,HOMESCH,0,10791,0.0
2006,HOMESCH,0,19604,0.0
2009,HOMESCH,0,25887,0.0
2012,HOMESCH,0,25313,0.0
2015,HOMESCH,6295,6736,93.5
2018,HOMESCH,29002,35943,80.7
2022,HOMESCH,0,30800,0.0
2025,HOMESCH,0,29966,0.0
2000,IBTEACH,0,6214,0.0
2003,IBTEACH,0,10791,0.0
2006,IBTEACH,0,19604,0.0
2009,IBTEACH,0,25887,0.0
2012,IBTEACH,0,25313,0.0
2015,IBTEACH,5351,6736,79.4
2018,IBTEACH,0,35943,0.0
2022,IBTEACH,0,30800,0.0
2025,IBTEACH,0,29966,0.0
2000,IC170Q10DA,0,6214,0.0
2003,IC170Q10DA,0,10791,0.0
2006,IC170Q10DA,0,19604,0.0
2009,IC170Q10DA,0,25887,0.0
2012,IC170Q10DA,0,25313,0.0
2015,IC170Q10DA,0,6736,0.0
2018,IC170Q10DA,0,35943,0.0
2022,IC170Q10DA,0,30800,0.0
2025,IC170Q10DA,23696,29966,79.1
2000,IC171Q10DA,0,6214,0.0
2003,IC171Q10DA,0,10791,0.0
2006,IC171Q10DA,0,19604,0.0
2009,IC171Q10DA,0,25887,0.0
2012,IC171Q10DA,0,25313,0.0
2015,IC171Q10DA,0,6736,0.0
2018,IC171Q10DA,0,35943,0.0
2022,IC171Q10DA,0,30800,0.0
2025,IC171Q10DA,23053,29966,76.9
2000,IC182Q05DA,0,6214,0.0
2003,IC182Q05DA,0,10791,0.0
2006,IC182Q05DA,0,19604,0.0
2009,IC182Q05DA,0,25887,0.0
2012,IC182Q05DA,0,25313,0.0
2015,IC182Q05DA,0,6736,0.0
2018,IC182Q05DA,0,35943,0.0
2022,IC182Q05DA,0,30800,0.0
2025,IC182Q05DA,22352,29966,74.6
2000,ICTAVSCH,0,6214,0.0
2003,ICTAVSCH,0,10791,0.0
2006,ICTAVSCH,0,19604,0.0
2009,ICTAVSCH,0,25887,0.0
2012,ICTAVSCH,0,25313,0.0
2015,ICTAVSCH,0,6736,0.0
2018,ICTAVSCH,0,35943,0.0
2022,ICTAVSCH,28983,30800,94.1
2025,ICTAVSCH,25847,29966,86.3
2000,ICTDISTR,0,6214,0.0
2003,ICTDISTR,0,10791,0.0
2006,ICTDISTR,0,19604,0.0
2009,ICTDISTR,0,25887,0.0
2012,ICTDISTR,0,25313,0.0
2015,ICTDISTR,0,6736,0.0
2018,ICTDISTR,0,35943,0.0
2022,ICTDISTR,24329,30800,79.0
2025,ICTDISTR,19231,29966,64.2
2000,ICTFEED,0,6214,0.0
2003,ICTFEED,0,10791,0.0
2006,ICTFEED,0,19604,0.0
2009,ICTFEED,0,25887,0.0
2012,ICTFEED,0,25313,0.0
2015,ICTFEED,0,6736,0.0
2018,ICTFEED,0,35943,0.0
2022,ICTFEED,27654,30800,89.8
2025,ICTFEED,23946,29966,79.9
2000,ICTHOME,0,6214,0.0
2003,ICTHOME,0,10791,0.0
2006,ICTHOME,0,19604,0.0
2009,ICTHOME,0,25887,0.0
2012,ICTHOME,0,25313,0.0
2015,ICTHOME,0,6736,0.0
2018,ICTHOME,0,35943,0.0
2022,ICTHOME,27839,30800,90.4
2025,ICTHOME,24457,29966,81.6
2000,ICTINFO,0,6214,0.0
2003,ICTINFO,0,10791,0.0
2006,ICTINFO,0,19604,0.0
2009,ICTINFO,0,25887,0.0
2012,ICTINFO,0,25313,0.0
2015,ICTINFO,0,6736,0.0
2018,ICTINFO,0,35943,0.0
2022,ICTINFO,26923,30800,87.4
2025,ICTINFO,22485,29966,75.0
2000,ICTOUT,0,6214,0.0
2003,ICTOUT,0,10791,0.0
2006,ICTOUT,0,19604,0.0
2009,ICTOUT,0,25887,0.0
2012,ICTOUT,0,25313,0.0
2015,ICTOUT,0,6736,0.0
2018,ICTOUT,0,35943,0.0
2022,ICTOUT,27550,30800,89.4
2025,ICTOUT,23829,29966,79.5
2000,ICTQUAL,0,6214,0.0
2003,ICTQUAL,0,10791,0.0
2006,ICTQUAL,0,19604,0.0
2009,ICTQUAL,0,25887,0.0
2012,ICTQUAL,0,25313,0.0
2015,ICTQUAL,0,6736,0.0
2018,ICTQUAL,0,35943,0.0
2022,ICTQUAL,28100,30800,91.2
2025,ICTQUAL,24453,29966,81.6
2000,ICTREG,0,6214,0.0
2003,ICTREG,0,10791,0.0
2006,ICTREG,0,19604,0.0
2009,ICTREG,0,25887,0.0
2012,ICTREG,0,25313,0.0
2015,ICTREG,0,6736,0.0
2018,ICTREG,0,35943,0.0
2022,ICTREG,27468,30800,89.2
2025,ICTREG,23223,29966,77.5
2000,ICTRES,0,6214,0.0
2003,ICTRES,0,10791,0.0
2006,ICTRES,0,19604,0.0
2009,ICTRES,25715,25887,99.3
2012,ICTRES,0,25313,0.0
2015,ICTRES,6565,6736,97.5
2018,ICTRES,35442,35943,98.6
2022,ICTRES,0,30800,0.0
2025,ICTRES,28987,29966,96.7
2000,ICTSCH,0,6214,0.0
2003,ICTSCH,0,10791,0.0
2006,ICTSCH,0,19604,0.0
2009,ICTSCH,0,25887,0.0
2012,ICTSCH,0,25313,0.0
2015,ICTSCH,0,6736,0.0
2018,ICTSCH,0,35943,0.0
2022,ICTSCH,28663,30800,93.1
2025,ICTSCH,25615,29966,85.5
2000,ICTWKDY,0,6214,0.0
2003,ICTWKDY,0,10791,0.0
2006,ICTWKDY,0,19604,0.0
2009,ICTWKDY,0,25887,0.0
2012,ICTWKDY,0,25313,0.0
2015,ICTWKDY,0,6736,0.0
2018,ICTWKDY,0,35943,0.0
2022,ICTWKDY,27566,30800,89.5
2025,ICTWKDY,23748,29966,79.2
2000,ICTWKEND,0,6214,0.0
2003,ICTWKEND,0,10791,0.0
2006,ICTWKEND,0,19604,0.0
2009,ICTWKEND,0,25887,0.0
2012,ICTWKEND,0,25313,0.0
2015,ICTWKEND,0,6736,0.0
2018,ICTWKEND,0,35943,0.0
2022,ICTWKEND,26485,30800,86.0
2025,ICTWKEND,22901,29966,76.4
2000,INFOCAR,0,6214,0.0
2003,INFOCAR,0,10791,0.0
2006,INFOCAR,0,19604,0.0
2009,INFOCAR,0,25887,0.0
2012,INFOCAR,0,25313,0.0
2015,INFOCAR,0,6736,0.0
2018,INFOCAR,30489,35943,84.8
2022,INFOCAR,0,30800,0.0
2025,INFOCAR,0,29966,0.0
2000,INSTMOT,0,6214,0.0
2003,INSTMOT,10732,10791,99.5
2006,INSTMOT,0,19604,0.0
2009,INSTMOT,0,25887,0.0
2012,INSTMOT,16661,25313,65.8
2015,INSTMOT,0,6736,0.0
2018,INSTMOT,0,35943,0.0
2022,INSTMOT,0,30800,0.0
2025,INSTMOT,0,29966,0.0
2000,INSTSCIE,0,6214,0.0
2003,INSTSCIE,0,10791,0.0
2006,INSTSCIE,19231,19604,98.1
2009,INSTSCIE,0,25887,0.0
2012,INSTSCIE,0,25313,0.0
2015,INSTSCIE,6223,6736,92.4
2018,INSTSCIE,0,35943,0.0
2022,INSTSCIE,0,30800,0.0
2025,INSTSCIE,0,29966,0.0
2000,INTBRSCI,0,6214,0.0
2003,INTBRSCI,0,10791,0.0
2006,INTBRSCI,0,19604,0.0
2009,INTBRSCI,0,25887,0.0
2012,INTBRSCI,0,25313,0.0
2015,INTBRSCI,6267,6736,93.0
2018,INTBRSCI,0,35943,0.0
2022,INTBRSCI,0,30800,0.0
2025,INTBRSCI,0,29966,0.0
2000,INTCULT,0,6214,0.0
2003,INTCULT,0,10791,0.0
2006,INTCULT,0,19604,0.0
2009,INTCULT,0,25887,0.0
2012,INTCULT,0,25313,0.0
2015,INTCULT,0,6736,0.0
2018,INTCULT,30517,35943,84.9
2022,INTCULT,0,30800,0.0
2025,INTCULT,0,29966,0.0
2000,INTICT,0,6214,0.0
2003,INTICT,0,10791,0.0
2006,INTICT,0,19604,0.0
2009,INTICT,0,25887,0.0
2012,INTICT,0,25313,0.0
2015,INTICT,0,6736,0.0
2018,INTICT,0,35943,0.0
2022,INTICT,0,30800,0.0
2025,INTICT,22522,29966,75.2
2000,INTMAT,0,6214,0.0
2003,INTMAT,10732,10791,99.5
2006,INTMAT,0,19604,0.0
2009,INTMAT,0,25887,0.0
2012,INTMAT,16668,25313,65.8
2015,INTMAT,0,6736,0.0
2018,INTMAT,0,35943,0.0
2022,INTMAT,0,30800,0.0
2025,INTMAT,0,29966,0.0
2000,JOYREAD,6102,6214,98.2
2003,JOYREAD,0,10791,0.0
2006,JOYREAD,0,19604,0.0
2009,JOYREAD,25292,25887,97.7
2012,JOYREAD,0,25313,0.0
2015,JOYREAD,0,6736,0.0
2018,JOYREAD,34983,35943,97.3
2022,JOYREAD,0,30800,0.0
2025,JOYREAD,0,29966,0.0
2000,JOYSCIE,0,6214,0.0
2003,JOYSCIE,0,10791,0.0
2006,JOYSCIE,0,19604,0.0
2009,JOYSCIE,0,25887,0.0
2012,JOYSCIE,0,25313,0.0
2015,JOYSCIE,0,6736,0.0
2018,JOYSCIE,0,35943,0.0
2022,JOYSCIE,0,30800,0.0
2025,JOYSCIE,27382,29966,91.4
2000,LEARRES,0,6214,0.0
2003,LEARRES,0,10791,0.0
2006,LEARRES,0,19604,0.0
2009,LEARRES,0,25887,0.0
2012,LEARRES,0,25313,0.0
2015,LEARRES,0,6736,0.0
2018,LEARRES,0,35943,0.0
2022,LEARRES,19762,30800,64.2
2025,LEARRES,0,29966,0.0
2000,LIFESAT,0,6214,0.0
2003,LIFESAT,0,10791,0.0
2006,LIFESAT,0,19604,0.0
2009,LIFESAT,0,25887,0.0
2012,LIFESAT,0,25313,0.0
2015,LIFESAT,0,6736,0.0
2018,LIFESAT,0,35943,0.0
2022,LIFESAT,28265,30800,91.8
2025,LIFESAT,0,29966,0.0
2000,LMINS,0,6214,0.0
2003,LMINS,0,10791,0.0
2006,LMINS,0,19604,0.0
2009,LMINS,23807,25887,92.0
2012,LMINS,15578,25313,61.5
2015,LMINS,6573,6736,97.6
2018,LMINS,27008,35943,75.1
2022,LMINS,0,30800,0.0
2025,LMINS,0,29966,0.0
2000,MASTGOAL,0,6214,0.0
2003,MASTGOAL,0,10791,0.0
2006,MASTGOAL,0,19604,0.0
2009,MASTGOAL,0,25887,0.0
2012,MASTGOAL,0,25313,0.0
2015,MASTGOAL,0,6736,0.0
2018,MASTGOAL,32988,35943,91.8
2022,MASTGOAL,0,30800,0.0
2025,MASTGOAL,0,29966,0.0
2000,MATBEH,0,6214,0.0
2003,MATBEH,0,10791,0.0
2006,MATBEH,0,19604,0.0
2009,MATBEH,0,25887,0.0
2012,MATBEH,16583,25313,65.5
2015,MATBEH,0,6736,0.0
2018,MATBEH,0,35943,0.0
2022,MATBEH,0,30800,0.0
2025,MATBEH,0,29966,0.0
2000,MATHEASE,0,6214,0.0
2003,MATHEASE,0,10791,0.0
2006,MATHEASE,0,19604,0.0
2009,MATHEASE,0,25887,0.0
2012,MATHEASE,0,25313,0.0
2015,MATHEASE,0,6736,0.0
2018,MATHEASE,0,35943,0.0
2022,MATHEASE,28293,30800,91.9
2025,MATHEASE,0,29966,0.0
2000,MATHEF21,0,6214,0.0
2003,MATHEF21,0,10791,0.0
2006,MATHEF21,0,19604,0.0
2009,MATHEF21,0,25887,0.0
2012,MATHEF21,0,25313,0.0
2015,MATHEF21,0,6736,0.0
2018,MATHEF21,0,35943,0.0
2022,MATHEF21,27672,30800,89.8
2025,MATHEF21,0,29966,0.0
2000,MATHEFF,0,6214,0.0
2003,MATHEFF,10699,10791,99.1
2006,MATHEFF,0,19604,0.0
2009,MATHEFF,0,25887,0.0
2012,MATHEFF,16656,25313,65.8
2015,MATHEFF,0,6736,0.0
2018,MATHEFF,0,35943,0.0
2022,MATHEFF,28009,30800,90.9
2025,MATHEFF,0,29966,0.0
2000,MATHMOT,0,6214,0.0
2003,MATHMOT,0,10791,0.0
2006,MATHMOT,0,19604,0.0
2009,MATHMOT,0,25887,0.0
2012,MATHMOT,0,25313,0.0
2015,MATHMOT,0,6736,0.0
2018,MATHMOT,0,35943,0.0
2022,MATHMOT,28304,30800,91.9
2025,MATHMOT,0,29966,0.0
2000,MATHPERS,0,6214,0.0
2003,MATHPERS,0,10791,0.0
2006,MATHPERS,0,19604,0.0
2009,MATHPERS,0,25887,0.0
2012,MATHPERS,0,25313,0.0
2015,MATHPERS,0,6736,0.0
2018,MATHPERS,0,35943,0.0
2022,MATHPERS,27707,30800,90.0
2025,MATHPERS,0,29966,0.0
2000,MATINTFC,0,6214,0.0
2003,MATINTFC,0,10791,0.0
2006,MATINTFC,0,19604,0.0
2009,MATINTFC,0,25887,0.0
2012,MATINTFC,15955,25313,63.0
2015,MATINTFC,0,6736,0.0
2018,MATINTFC,0,35943,0.0
2022,MATINTFC,0,30800,0.0
2025,MATINTFC,0,29966,0.0
2000,MATWKETH,0,6214,0.0
2003,MATWKETH,0,10791,0.0
2006,MATWKETH,0,19604,0.0
2009,MATWKETH,0,25887,0.0
2012,MATWKETH,16596,25313,65.6
2015,MATWKETH,0,6736,0.0
2018,MATWKETH,0,35943,0.0
2022,MATWKETH,0,30800,0.0
2025,MATWKETH,0,29966,0.0
2000,MEMOR,0,6214,0.0
2003,MEMOR,10682,10791,99.0
2006,MEMOR,0,19604,0.0
2009,MEMOR,25642,25887,99.1
2012,MEMOR,0,25313,0.0
2015,MEMOR,0,6736,0.0
2018,MEMOR,0,35943,0.0
2022,MEMOR,0,30800,0.0
2025,MEMOR,0,29966,0.0
2000,METASPAM,0,6214,0.0
2003,METASPAM,0,10791,0.0
2006,METASPAM,0,19604,0.0
2009,METASPAM,0,25887,0.0
2012,METASPAM,0,25313,0.0
2015,METASPAM,0,6736,0.0
2018,METASPAM,32281,35943,89.8
2022,METASPAM,0,30800,0.0
2025,METASPAM,0,29966,0.0
2000,METASUM,0,6214,0.0
2003,METASUM,0,10791,0.0
2006,METASUM,0,19604,0.0
2009,METASUM,25166,25887,97.2
2012,METASUM,0,25313,0.0
2015,METASUM,0,6736,0.0
2018,METASUM,33096,35943,92.1
2022,METASUM,0,30800,0.0
2025,METASUM,0,29966,0.0
2000,MISSSC,0,6214,0.0
2003,MISSSC,0,10791,0.0
2006,MISSSC,0,19604,0.0
2009,MISSSC,0,25887,0.0
2012,MISSSC,0,25313,0.0
2015,MISSSC,0,6736,0.0
2018,MISSSC,0,35943,0.0
2022,MISSSC,0,30800,0.0
2025,MISSSC,0,29966,0.0
2000,MMINS,5743,6214,92.4
2003,MMINS,10791,10791,100.0
2006,MMINS,0,19604,0.0
2009,MMINS,23904,25887,92.3
2012,MMINS,15623,25313,61.7
2015,MMINS,6571,6736,97.6
2018,MMINS,27015,35943,75.2
2022,MMINS,0,30800,0.0
2025,MMINS,0,29966,0.0
2000,MOTIVAT,0,6214,0.0
2003,MOTIVAT,0,10791,0.0
2006,MOTIVAT,0,19604,0.0
2009,MOTIVAT,0,25887,0.0
2012,MOTIVAT,0,25313,0.0
2015,MOTIVAT,6536,6736,97.0
2018,MOTIVAT,0,35943,0.0
2022,MOTIVAT,0,30800,0.0
2025,MOTIVAT,0,29966,0.0
2000,ONLNREAD,0,6214,0.0
2003,ONLNREAD,0,10791,0.0
2006,ONLNREAD,0,19604,0.0
2009,ONLNREAD,25649,25887,99.1
2012,ONLNREAD,0,25313,0.0
2015,ONLNREAD,0,6736,0.0
2018,ONLNREAD,0,35943,0.0
2022,ONLNREAD,0,30800,0.0
2025,ONLNREAD,0,29966,0.0
2000,OPENART,0,6214,0.0
2003,OPENART,0,10791,0.0
2006,OPENART,0,19604,0.0
2009,OPENART,0,25887,0.0
2012,OPENART,0,25313,0.0
2015,OPENART,0,6736,0.0
2018,OPENART,0,35943,0.0
2022,OPENART,26990,30800,87.6
2025,OPENART,0,29966,0.0
2000,OPENPS,0,6214,0.0
2003,OPENPS,0,10791,0.0
2006,OPENPS,0,19604,0.0
2009,OPENPS,0,25887,0.0
2012,OPENPS,16537,25313,65.3
2015,OPENPS,0,6736,0.0
2018,OPENPS,0,35943,0.0
2022,OPENPS,0,30800,0.0
2025,OPENPS,0,29966,0.0
2000,OPENVLRN,0,6214,0.0
2003,OPENVLRN,0,10791,0.0
2006,OPENVLRN,0,19604,0.0
2009,OPENVLRN,0,25887,0.0
2012,OPENVLRN,0,25313,0.0
2015,OPENVLRN,0,6736,0.0
2018,OPENVLRN,0,35943,0.0
2022,OPENVLRN,0,30800,0.0
2025,OPENVLRN,26956,29966,90.0
2000,OUTHOURS,0,6214,0.0
2003,OUTHOURS,0,10791,0.0
2006,OUTHOURS,0,19604,0.0
2009,OUTHOURS,0,25887,0.0
2012,OUTHOURS,16525,25313,65.3
2015,OUTHOURS,6338,6736,94.1
2018,OUTHOURS,0,35943,0.0
2022,OUTHOURS,0,30800,0.0
2025,OUTHOURS,0,29966,0.0
2000,PAREDINT,0,6214,0.0
2003,PAREDINT,10271,10791,95.2
2006,PAREDINT,19220,19604,98.0
2009,PAREDINT,25257,25887,97.6
2012,PAREDINT,24818,25313,98.0
2015,PAREDINT,6632,6736,98.5
2018,PAREDINT,34925,35943,97.2
2022,PAREDINT,29394,30800,95.4
2025,PAREDINT,27813,29966,92.8
2000,PERCOMP,0,6214,0.0
2003,PERCOMP,0,10791,0.0
2006,PERCOMP,0,19604,0.0
2009,PERCOMP,0,25887,0.0
2012,PERCOMP,0,25313,0.0
2015,PERCOMP,0,6736,0.0
2018,PERCOMP,27466,35943,76.4
2022,PERCOMP,0,30800,0.0
2025,PERCOMP,0,29966,0.0
2000,PERCOOP,0,6214,0.0
2003,PERCOOP,0,10791,0.0
2006,PERCOOP,0,19604,0.0
2009,PERCOOP,0,25887,0.0
2012,PERCOOP,0,25313,0.0
2015,PERCOOP,0,6736,0.0
2018,PERCOOP,26306,35943,73.2
2022,PERCOOP,0,30800,0.0
2025,PERCOOP,0,29966,0.0
2000,PERFEED,0,6214,0.0
2003,PERFEED,0,10791,0.0
2006,PERFEED,0,19604,0.0
2009,PERFEED,0,25887,0.0
2012,PERFEED,0,25313,0.0
2015,PERFEED,5323,6736,79.0
2018,PERFEED,34850,35943,97.0
2022,PERFEED,0,30800,0.0
2025,PERFEED,0,29966,0.0
2000,PERSEV,0,6214,0.0
2003,PERSEV,0,10791,0.0
2006,PERSEV,0,19604,0.0
2009,PERSEV,0,25887,0.0
2012,PERSEV,0,25313,0.0
2015,PERSEV,0,6736,0.0
2018,PERSEV,0,35943,0.0
2022,PERSEV,0,30800,0.0
2025,PERSEV,25357,29966,84.6
2000,PERSEVAGR,0,6214,0.0
2003,PERSEVAGR,0,10791,0.0
2006,PERSEVAGR,0,19604,0.0
2009,PERSEVAGR,0,25887,0.0
2012,PERSEVAGR,0,25313,0.0
2015,PERSEVAGR,0,6736,0.0
2018,PERSEVAGR,0,35943,0.0
2022,PERSEVAGR,29167,30800,94.7
2025,PERSEVAGR,0,29966,0.0
2000,PERSPECT,0,6214,0.0
2003,PERSPECT,0,10791,0.0
2006,PERSPECT,0,19604,0.0
2009,PERSPECT,0,25887,0.0
2012,PERSPECT,0,25313,0.0
2015,PERSPECT,0,6736,0.0
2018,PERSPECT,31527,35943,87.7
2022,PERSPECT,0,30800,0.0
2025,PERSPECT,0,29966,0.0
2000,PISADIFF,0,6214,0.0
2003,PISADIFF,0,10791,0.0
2006,PISADIFF,0,19604,0.0
2009,PISADIFF,0,25887,0.0
2012,PISADIFF,0,25313,0.0
2015,PISADIFF,0,6736,0.0
2018,PISADIFF,34320,35943,95.5
2022,PISADIFF,0,30800,0.0
2025,PISADIFF,0,29966,0.0
2000,PQENPERC,0,6214,0.0
2003,PQENPERC,0,10791,0.0
2006,PQENPERC,0,19604,0.0
2009,PQENPERC,0,25887,0.0
2012,PQENPERC,0,25313,0.0
2015,PQENPERC,4660,6736,69.2
2018,PQENPERC,0,35943,0.0
2022,PQENPERC,0,30800,0.0
2025,PQENPERC,0,29966,0.0
2000,PQENVOPT,0,6214,0.0
2003,PQENVOPT,0,10791,0.0
2006,PQENVOPT,0,19604,0.0
2009,PQENVOPT,0,25887,0.0
2012,PQENVOPT,0,25313,0.0
2015,PQENVOPT,4654,6736,69.1
2018,PQENVOPT,0,35943,0.0
2022,PQENVOPT,0,30800,0.0
2025,PQENVOPT,0,29966,0.0
2000,PQGENSCI,0,6214,0.0
2003,PQGENSCI,0,10791,0.0
2006,PQGENSCI,0,19604,0.0
2009,PQGENSCI,0,25887,0.0
2012,PQGENSCI,0,25313,0.0
2015,PQGENSCI,4631,6736,68.8
2018,PQGENSCI,0,35943,0.0
2022,PQGENSCI,0,30800,0.0
2025,PQGENSCI,0,29966,0.0
2000,PQSCHOOL,0,6214,0.0
2003,PQSCHOOL,0,10791,0.0
2006,PQSCHOOL,0,19604,0.0
2009,PQSCHOOL,0,25887,0.0
2012,PQSCHOOL,0,25313,0.0
2015,PQSCHOOL,4689,6736,69.6
2018,PQSCHOOL,0,35943,0.0
2022,PQSCHOOL,0,30800,0.0
2025,PQSCHOOL,0,29966,0.0
2000,PRESUPP,0,6214,0.0
2003,PRESUPP,0,10791,0.0
2006,PRESUPP,0,19604,0.0
2009,PRESUPP,0,25887,0.0
2012,PRESUPP,0,25313,0.0
2015,PRESUPP,4679,6736,69.5
2018,PRESUPP,0,35943,0.0
2022,PRESUPP,0,30800,0.0
2025,PRESUPP,0,29966,0.0
2000,PROBSELF,0,6214,0.0
2003,PROBSELF,0,10791,0.0
2006,PROBSELF,0,19604,0.0
2009,PROBSELF,0,25887,0.0
2012,PROBSELF,0,25313,0.0
2015,PROBSELF,0,6736,0.0
2018,PROBSELF,0,35943,0.0
2022,PROBSELF,19665,30800,63.8
2025,PROBSELF,0,29966,0.0
2000,PSYCHSYM,0,6214,0.0
2003,PSYCHSYM,0,10791,0.0
2006,PSYCHSYM,0,19604,0.0
2009,PSYCHSYM,0,25887,0.0
2012,PSYCHSYM,0,25313,0.0
2015,PSYCHSYM,0,6736,0.0
2018,PSYCHSYM,0,35943,0.0
2022,PSYCHSYM,28450,30800,92.4
2025,PSYCHSYM,0,29966,0.0
2000,RELATST,0,6214,0.0
2003,RELATST,0,10791,0.0
2006,RELATST,0,19604,0.0
2009,RELATST,0,25887,0.0
2012,RELATST,0,25313,0.0
2015,RELATST,0,6736,0.0
2018,RELATST,0,35943,0.0
2022,RELATST,29610,30800,96.1
2025,RELATST,0,29966,0.0
2000,RESILIENCE,0,6214,0.0
2003,RESILIENCE,0,10791,0.0
2006,RESILIENCE,0,19604,0.0
2009,RESILIENCE,0,25887,0.0
2012,RESILIENCE,0,25313,0.0
2015,RESILIENCE,0,6736,0.0
2018,RESILIENCE,33114,35943,92.1
2022,RESILIENCE,0,30800,0.0
2025,RESILIENCE,0,29966,0.0
2000,RESPECT,0,6214,0.0
2003,RESPECT,0,10791,0.0
2006,RESPECT,0,19604,0.0
2009,RESPECT,0,25887,0.0
2012,RESPECT,0,25313,0.0
2015,RESPECT,0,6736,0.0
2018,RESPECT,30106,35943,83.8
2022,RESPECT,0,30800,0.0
2025,RESPECT,0,29966,0.0
2000,SCIEACT,0,6214,0.0
2003,SCIEACT,0,10791,0.0
2006,SCIEACT,19515,19604,99.5
2009,SCIEACT,0,25887,0.0
2012,SCIEACT,0,25313,0.0
2015,SCIEACT,6221,6736,92.4
2018,SCIEACT,0,35943,0.0
2022,SCIEACT,0,30800,0.0
2025,SCIEACT,0,29966,0.0
2000,SCMAT,0,6214,0.0
2003,SCMAT,10721,10791,99.4
2006,SCMAT,0,19604,0.0
2009,SCMAT,0,25887,0.0
2012,SCMAT,16633,25313,65.7
2015,SCMAT,0,6736,0.0
2018,SCMAT,0,35943,0.0
2022,SCMAT,0,30800,0.0
2025,SCMAT,0,29966,0.0
2000,SDLEFF,0,6214,0.0
2003,SDLEFF,0,10791,0.0
2006,SDLEFF,0,19604,0.0
2009,SDLEFF,0,25887,0.0
2012,SDLEFF,0,25313,0.0
2015,SDLEFF,0,6736,0.0
2018,SDLEFF,0,35943,0.0
2022,SDLEFF,19398,30800,63.0
2025,SDLEFF,0,29966,0.0
2000,SELFREG,0,6214,0.0
2003,SELFREG,0,10791,0.0
2006,SELFREG,0,19604,0.0
2009,SELFREG,0,25887,0.0
2012,SELFREG,0,25313,0.0
2015,SELFREG,0,6736,0.0
2018,SELFREG,0,35943,0.0
2022,SELFREG,0,30800,0.0
2025,SELFREG,24492,29966,81.7
2000,SISCO,0,6214,0.0
2003,SISCO,0,10791,0.0
2006,SISCO,0,19604,0.0
2009,SISCO,0,25887,0.0
2012,SISCO,0,25313,0.0
2015,SISCO,0,6736,0.0
